index,Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
30697,pk,bhalwal,32.270078999999996,72.876494,59.92,74.0,0.0,4.41
11816,fr,mennecy,48.569028,2.443839,35.85,99.0,90.0,10.29
44695,us,arlington,41.6958333,-73.8972222,48.56,31.0,1.0,3.36
45010,us,dayton,39.758888899999995,-84.1916667,30.65,79.0,75.0,6.93
39506,si,ankaran,45.5786111,13.7361111,36.48,100.0,75.0,3.36
18584,in,manvi,15.983332999999998,77.05,81.47,73.0,0.0,3.96
20934,it,san remo,43.816666999999995,7.766667,45.05,65.0,20.0,14.99
42441,us,newport beach,33.618888899999995,-117.9280556,63.59,10.0,20.0,24.16
38414,ru,suponevo,53.204923,34.295966,28.4,92.0,75.0,11.18
26454,pa,la mesa,8.15,-81.1833333,71.26,96.0,80.0,2.06
36424,ru,koltsovo,56.774747999999995,60.825227000000005,21.2,85.0,90.0,8.95
196,am,aygek,40.1886111,44.3833333,32.0,89.0,75.0,2.73
37449,ru,oktyabrskiy,56.50990899999999,57.204514,26.66,91.0,88.0,12.35
22490,lu,capellen,49.645,5.9908333,30.2,92.0,90.0,10.29
18628,in,minjur,13.266667000000002,80.266667,82.4,74.0,40.0,5.82
28332,ph,indulang,8.05,124.64,77.6,83.0,0.0,3.18
27909,ph,clarin,9.9616,124.0252,81.2,90.0,80.0,3.4
39623,sk,cadca,49.4333333,18.783333300000002,35.73,100.0,90.0,1.12
13933,gr,methoni,36.8166667,21.7,35.6,74.0,0.0,4.7
39135,ru,yevsino,54.4136,83.322,,,,
44789,us,middletown,41.4458333,-74.4233333,30.81,64.0,20.0,9.17
23793,mx,espita,21.016667,-88.31666700000001,73.64,83.0,0.0,2.84
11550,fr,creutzwald,49.199657,6.689863000000001,32.34,96.0,75.0,13.87
32085,ro,alba iulia,46.066666999999995,23.583333,33.8,86.0,75.0,2.24
28812,ph,macabugos,13.2362,123.3053,82.82,86.0,56.0,2.95
22483,lu,biwer,49.7027778,6.3747222,,,,
