index,Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
7156,co,paratebueno,4.375754,-73.21547199999999,70.48,91.0,0.0,2.28
7479,co,totoro,2.512044,-76.40124,51.54,99.0,56.0,1.34
37413,ru,nyuksenitsa,60.411593,44.233087,23.05,84.0,76.0,12.35
9888,de,wunstorf,52.433333,9.416667,41.45,93.0,92.0,13.87
5791,cm,nkoteng,4.5166667,12.0333333,72.91,90.0,44.0,6.82
6169,cn,liyang,31.430795,119.52399299999999,53.29,64.0,12.0,6.53
27955,ph,cosina,8.106111,124.619722,84.88,66.0,0.0,5.08
24527,mx,soteapan,18.233333,-94.866667,68.14,93.0,36.0,3.13
15681,hu,katymar,46.03398,19.209353,28.4,86.0,0.0,6.93
29635,ph,ramon,16.784163,121.53504099999999,77.46,100.0,92.0,4.92
21477,jp,kazo,36.116667,139.6,54.07,79.0,75.0,4.7
707,at,ried,48.216667,13.5,,,,
11147,et,debre sina,9.85,39.766667,55.72,40.0,0.0,2.06
7660,cu,alacranes,22.7675,-81.5675,68.0,88.0,20.0,3.36
9477,de,prenzlau,53.316667,13.866667000000001,35.2,92.0,76.0,11.68
16667,ie,kinsale,51.7075,-8.5305556,44.6,93.0,75.0,5.82
5697,cl,rengo,-34.416667,-70.866667,60.8,67.0,90.0,3.36
18301,in,kolhapur,16.7,74.216667,78.67,59.0,8.0,15.48
22183,kz,kurchum,48.572222,83.654167,20.22,94.0,48.0,4.92
40687,tr,sebinkarahisar,40.288333,38.423611,25.44,74.0,12.0,2.06
39928,sv,ilopango,13.701666699999999,-89.1094444,75.51,77.0,0.0,9.17
41844,ua,vesele,47.014790999999995,34.915036,48.43,97.0,92.0,9.62
26017,no,roros,62.583332999999996,11.4,26.6,92.0,8.0,3.36
